 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2009, Numar persoane,105
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2010, Numar persoane,106
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2011, Numar persoane,112
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2012, Numar persoane,111
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2007, Numar persoane,106
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2008, Numar persoane,97
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2009, Numar persoane,89
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2010, Numar persoane,89
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2011, Numar persoane,82
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2012, Numar persoane,86
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2007, Numar persoane,93
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2008, Numar persoane,89
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2009, Numar persoane,81
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2010, Numar persoane,91
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2011, Numar persoane,89
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2012, Numar persoane,95
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2007, Numar persoane,145
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2008, Numar persoane,145
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2009, Numar persoane,144
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2010, Numar persoane,128
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2011, Numar persoane,119
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2012, Numar persoane,110
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2007, Numar persoane,117
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2008, Numar persoane,114
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2009, Numar persoane,121
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2010, Numar persoane,110
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2011, Numar persoane,92
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2012, Numar persoane,90
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2007, Numar persoane,104
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2008, Numar persoane,107
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2009, Numar persoane,111
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2010, Numar persoane,128
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2011, Numar persoane,130
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2012, Numar persoane,138
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2007, Numar persoane,110
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2008, Numar persoane,113
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2009, Numar persoane,115
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2010, Numar persoane,119
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2011, Numar persoane,127
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2012, Numar persoane,116
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2007, Numar persoane,80
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2008, Numar persoane,86
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2009, Numar persoane,100
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2010, Numar persoane,98
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2011, Numar persoane,102
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2012, Numar persoane,93
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2007, Numar persoane,106
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2008, Numar persoane,104
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2009, Numar persoane,111
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2010, Numar persoane,109
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2011, Numar persoane,114
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2012, Numar persoane,110
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2007, Numar persoane,86
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2008, Numar persoane,81
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2009, Numar persoane,71
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2010, Numar persoane,69
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2011, Numar persoane,68
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2012, Numar persoane,76
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2007, Numar persoane,122
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2008, Numar persoane,111
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2009, Numar persoane,99
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2010, Numar persoane,91
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2011, Numar persoane,89
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2012, Numar persoane,99
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2007, Numar persoane,81
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2008, Numar persoane,81
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2009, Numar persoane,89
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2010, Numar persoane,80
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2011, Numar persoane,76
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2012, Numar persoane,72
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2007, Numar persoane,100
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2008, Numar persoane,111
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2009, Numar persoane,111
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2010, Numar persoane,109
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2011, Numar persoane,112
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2012, Numar persoane,104
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2007, Numar persoane,62
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2008, Numar persoane,54
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2009, Numar persoane,52
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2010, Numar persoane,62
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2011, Numar persoane,54
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2012, Numar persoane,54
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2007, Numar persoane,87
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2008, Numar persoane,84
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2009, Numar persoane,82
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2010, Numar persoane,80
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2011, Numar persoane,75
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2012, Numar persoane,78
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2007, Numar persoane,35
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2008, Numar persoane,47
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2009, Numar persoane,40
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2010, Numar persoane,30
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2011, Numar persoane,37
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2012, Numar persoane,39
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2007, Numar persoane,52
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2008, Numar persoane,50
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2009, Numar persoane,56
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2010, Numar persoane,64
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2011, Numar persoane,62
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2012, Numar persoane,59
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2007, Numar persoane,9
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2008, Numar persoane,10
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2009, Numar persoane,14
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2010, Numar persoane,18
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2011, Numar persoane,19
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2012, Numar persoane,19
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2007, Numar persoane,19
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2008, Numar persoane,22
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2009, Numar persoane,20
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2010, Numar persoane,24
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2011, Numar persoane,30
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2012, Numar persoane,33
 29948 LUNCA,0- 4 ani, Masculin, Bihor, Anul 2013, Numar persoane,50
 29948 LUNCA,0- 4 ani, Masculin, Bihor, Anul 2014, Numar persoane,48
 29948 LUNCA,0- 4 ani, Masculin, Bihor, Anul 2015, Numar persoane,46
 29948 LUNCA,0- 4 ani, Masculin, Bihor, Anul 2016, Numar persoane,46
 29948 LUNCA,0- 4 ani, Masculin, Bihor, Anul 2017, Numar persoane,48
 29948 LUNCA,0- 4 ani, Feminin, Bihor, Anul 2013, Numar persoane,33
 29948 LUNCA,0- 4 ani, Feminin, Bihor, Anul 2014, Numar persoane,35
 29948 LUNCA,0- 4 ani, Feminin, Bihor, Anul 2015, Numar persoane,35
 29948 LUNCA,0- 4 ani, Feminin, Bihor, Anul 2016, Numar persoane,37
 29948 LUNCA,0- 4 ani, Feminin, Bihor, Anul 2017, Numar persoane,37
 29948 LUNCA,5- 9 ani, Masculin, Bihor, Anul 2013, Numar persoane,56
 29948 LUNCA,5- 9 ani, Masculin, Bihor, Anul 2014, Numar persoane,55
 29948 LUNCA,5- 9 ani, Masculin, Bihor, Anul 2015, Numar persoane,55
 29948 LUNCA,5- 9 ani, Masculin, Bihor, Anul 2016, Numar persoane,49
 29948 LUNCA,5- 9 ani, Masculin, Bihor, Anul 2017, Numar persoane,42
 29948 LUNCA,5- 9 ani, Feminin, Bihor, Anul 2013, Numar persoane,65
 29948 LUNCA,5- 9 ani, Feminin, Bihor, Anul 2014, Numar persoane,57
 29948 LUNCA,5- 9 ani, Feminin, Bihor, Anul 2015, Numar persoane,57
 29948 LUNCA,5- 9 ani, Feminin, Bihor, Anul 2016, Numar persoane,52
 29948 LUNCA,5- 9 ani, Feminin, Bihor, Anul 2017, Numar persoane,38
 29948 LUNCA,10-14 ani, Masculin, Bihor, Anul 2013, Numar persoane,59
 29948 LUNCA,10-14 ani, Masculin, Bihor, Anul 2014, Numar persoane,55
 29948 LUNCA,10-14 ani, Masculin, Bihor, Anul 2015, Numar persoane,53
 29948 LUNCA,10-14 ani, Masculin, Bihor, Anul 2016, Numar persoane,55
 29948 LUNCA,10-14 ani, Masculin, Bihor, Anul 2017, Numar persoane,59
 29948 LUNCA,10-14 ani, Feminin, Bihor, Anul 2013, Numar persoane,47
 29948 LUNCA,10-14 ani, Feminin, Bihor, Anul 2014, Numar persoane,51
 29948 LUNCA,10-14 ani, Feminin, Bihor, Anul 2015, Numar persoane,54
 29948 LUNCA,10-14 ani, Feminin, Bihor, Anul 2016, Numar persoane,51
 29948 LUNCA,10-14 ani, Feminin, Bihor, Anul 2017, Numar persoane,59
 29948 LUNCA,15-19 ani, Masculin, Bihor, Anul 2013, Numar persoane,65
 29948 LUNCA,15-19 ani, Masculin, Bihor, Anul 2014, Numar persoane,73
 29948 LUNCA,15-19 ani, Masculin, Bihor, Anul 2015, Numar persoane,68
 29948 LUNCA,15-19 ani, Masculin, Bihor, Anul 2016, Numar persoane,63
 29948 LUNCA,15-19 ani, Masculin, Bihor, Anul 2017, Numar persoane,56
 29948 LUNCA,15-19 ani, Feminin, Bihor, Anul 2013, Numar persoane,62
 29948 LUNCA,15-19 ani, Feminin, Bihor, Anul 2014, Numar persoane,59
 29948 LUNCA,15-19 ani, Feminin, Bihor, Anul 2015, Numar persoane,56
 29948 LUNCA,15-19 ani, Feminin, Bihor, Anul 2016, Numar persoane,52
 29948 LUNCA,15-19 ani, Feminin, Bihor, Anul 2017, Numar persoane,49
 29948 LUNCA,20-24 ani, Masculin, Bihor, Anul 2013, Numar persoane,90
 29948 LUNCA,20-24 ani, Masculin, Bihor, Anul 2014, Numar persoane,80
 29948 LUNCA,20-24 ani, Masculin, Bihor, Anul 2015, Numar persoane,79
 29948 LUNCA,20-24 ani, Masculin, Bihor, Anul 2016, Numar persoane,77
 29948 LUNCA,20-24 ani, Masculin, Bihor, Anul 2017, Numar persoane,77
 29948 LUNCA,20-24 ani, Feminin, Bihor, Anul 2013, Numar persoane,83
 29948 LUNCA,20-24 ani, Feminin, Bihor, Anul 2014, Numar persoane,76
 29948 LUNCA,20-24 ani, Feminin, Bihor, Anul 2015, Numar persoane,68
 29948 LUNCA,20-24 ani, Feminin, Bihor, Anul 2016, Numar persoane,61
 29948 LUNCA,20-24 ani, Feminin, Bihor, Anul 2017, Numar persoane,60
 29948 LUNCA,25-29 ani, Masculin, Bihor, Anul 2013, Numar persoane,111
 29948 LUNCA,25-29 ani, Masculin, Bihor, Anul 2014, Numar persoane,102
 29948 LUNCA,25-29 ani, Masculin, Bihor, Anul 2015, Numar persoane,97
 29948 LUNCA,25-29 ani, Masculin, Bihor, Anul 2016, Numar persoane,88
 29948 LUNCA,25-29 ani, Masculin, Bihor, Anul 2017, Numar persoane,91
 29948 LUNCA,25-29 ani, Feminin, Bihor, Anul 2013, Numar persoane,102
 29948 LUNCA,25-29 ani, Feminin, Bihor, Anul 2014, Numar persoane,105
 29948 LUNCA,25-29 ani, Feminin, Bihor, Anul 2015, Numar persoane,114
 29948 LUNCA,25-29 ani, Feminin, Bihor, Anul 2016, Numar persoane,112
 29948 LUNCA,25-29 ani, Feminin, Bihor, Anul 2017, Numar persoane,101
 29948 LUNCA,30-34 ani, Masculin, Bihor, Anul 2013, Numar persoane,93
 29948 LUNCA,30-34 ani, Masculin, Bihor, Anul 2014, Numar persoane,102
 29948 LUNCA,30-34 ani, Masculin, Bihor, Anul 2015, Numar persoane,106
 29948 LUNCA,30-34 ani, Masculin, Bihor, Anul 2016, Numar persoane,107
 29948 LUNCA,30-34 ani, Masculin, Bihor, Anul 2017, Numar persoane,99
 29948 LUNCA,30-34 ani, Feminin, Bihor, Anul 2013, Numar persoane,87
 29948 LUNCA,30-34 ani, Feminin, Bihor, Anul 2014, Numar persoane,82
 29948 LUNCA,30-34 ani, Feminin, Bihor, Anul 2015, Numar persoane,84
 29948 LUNCA,30-34 ani, Feminin, Bihor, Anul 2016, Numar persoane,82
 29948 LUNCA,30-34 ani, Feminin, Bihor, Anul 2017, Numar persoane,84
 29948 LUNCA,35-39 ani, Masculin, Bihor, Anul 2013, Numar persoane,95
 29948 LUNCA,35-39 ani, Masculin, Bihor, Anul 2014, Numar persoane,90
 29948 LUNCA,35-39 ani, Masculin, Bihor, Anul 2015, Numar persoane,91
 29948 LUNCA,35-39 ani, Masculin, Bihor, Anul 2016, Numar persoane,93
 29948 LUNCA,35-39 ani, Masculin, Bihor, Anul 2017, Numar persoane,97
 29948 LUNCA,35-39 ani, Feminin, Bihor, Anul 2013, Numar persoane,74
 29948 LUNCA,35-39 ani, Feminin, Bihor, Anul 2014, Numar persoane,75
 29948 LUNCA,35-39 ani, Feminin, Bihor, Anul 2015, Numar persoane,79
 29948 LUNCA,35-39 ani, Feminin, Bihor, Anul 2016, Numar persoane,75
 29948 LUNCA,35-39 ani, Feminin, Bihor, Anul 2017, Numar persoane,79
 29948 LUNCA,40-44 ani, Masculin, Bihor, Anul 2013, Numar persoane,117
 29948 LUNCA,40-44 ani, Masculin, Bihor, Anul 2014, Numar persoane,102
 29948 LUNCA,40-44 ani, Masculin, Bihor, Anul 2015, Numar persoane,105
 29948 LUNCA,40-44 ani, Masculin, Bihor, Anul 2016, Numar persoane,102
 29948 LUNCA,40-44 ani, Masculin, Bihor, Anul 2017, Numar persoane,98
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2013, Numar persoane,110
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2014, Numar persoane,101
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2015, Numar persoane,89
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2016, Numar persoane,85
 29948 LUNCA,40-44 ani, Feminin, Bihor, Anul 2017, Numar persoane,85
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2013, Numar persoane,84
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2014, Numar persoane,104
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2015, Numar persoane,102
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2016, Numar persoane,106
 29948 LUNCA,45-49 ani, Masculin, Bihor, Anul 2017, Numar persoane,103
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2013, Numar persoane,98
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2014, Numar persoane,104
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2015, Numar persoane,104
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2016, Numar persoane,110
 29948 LUNCA,45-49 ani, Feminin, Bihor, Anul 2017, Numar persoane,105
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2013, Numar persoane,97
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2014, Numar persoane,86
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2015, Numar persoane,86
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2016, Numar persoane,78
 29948 LUNCA,50-54 ani, Masculin, Bihor, Anul 2017, Numar persoane,84
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2013, Numar persoane,87
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2014, Numar persoane,77
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2015, Numar persoane,89
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2016, Numar persoane,88
 29948 LUNCA,50-54 ani, Feminin, Bihor, Anul 2017, Numar persoane,97
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2013, Numar persoane,141
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2014, Numar persoane,137
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2015, Numar persoane,123
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2016, Numar persoane,119
 29948 LUNCA,55-59 ani, Masculin, Bihor, Anul 2017, Numar persoane,105
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2013, Numar persoane,112
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2014, Numar persoane,119
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2015, Numar persoane,107
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2016, Numar persoane,90
 29948 LUNCA,55-59 ani, Feminin, Bihor, Anul 2017, Numar persoane,87
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2013, Numar persoane,95
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2014, Numar persoane,100
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2015, Numar persoane,115
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2016, Numar persoane,123
 29948 LUNCA,60-64 ani, Masculin, Bihor, Anul 2017, Numar persoane,133
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2013, Numar persoane,114
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2014, Numar persoane,114
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2015, Numar persoane,119
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2016, Numar persoane,120
 29948 LUNCA,60-64 ani, Feminin, Bihor, Anul 2017, Numar persoane,108
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2013, Numar persoane,82
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2014, Numar persoane,90
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2015, Numar persoane,89
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2016, Numar persoane,89
 29948 LUNCA,65-69 ani, Masculin, Bihor, Anul 2017, Numar persoane,80
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2013, Numar persoane,98
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2014, Numar persoane,106
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2015, Numar persoane,108
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2016, Numar persoane,114
 29948 LUNCA,65-69 ani, Feminin, Bihor, Anul 2017, Numar persoane,107
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2013, Numar persoane,64
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2014, Numar persoane,57
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2015, Numar persoane,56
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2016, Numar persoane,54
 29948 LUNCA,70-74 ani, Masculin, Bihor, Anul 2017, Numar persoane,61
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2013, Numar persoane,98
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2014, Numar persoane,87
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2015, Numar persoane,84
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2016, Numar persoane,84
 29948 LUNCA,70-74 ani, Feminin, Bihor, Anul 2017, Numar persoane,93
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2013, Numar persoane,61
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2014, Numar persoane,60
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2015, Numar persoane,53
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2016, Numar persoane,55
 29948 LUNCA,75-79 ani, Masculin, Bihor, Anul 2017, Numar persoane,54
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2013, Numar persoane,91
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2014, Numar persoane,93
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2015, Numar persoane,88
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2016, Numar persoane,89
 29948 LUNCA,75-79 ani, Feminin, Bihor, Anul 2017, Numar persoane,82
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2013, Numar persoane,34
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2014, Numar persoane,29
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2015, Numar persoane,37
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2016, Numar persoane,33
 29948 LUNCA,80-84 ani, Masculin, Bihor, Anul 2017, Numar persoane,30
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2013, Numar persoane,56
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2014, Numar persoane,56
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2015, Numar persoane,59
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2016, Numar persoane,48
 29948 LUNCA,80-84 ani, Feminin, Bihor, Anul 2017, Numar persoane,55
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2013, Numar persoane,28
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2014, Numar persoane,20
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2015, Numar persoane,16
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2016, Numar persoane,18
 29948 LUNCA,85 ani si peste, Masculin, Bihor, Anul 2017, Numar persoane,17
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2013, Numar persoane,36
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2014, Numar persoane,32
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2015, Numar persoane,34
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2016, Numar persoane,39
 29948 LUNCA,85 ani si peste, Feminin, Bihor, Anul 2017, Numar persoane,36
