 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2009, Numar persoane,79
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2010, Numar persoane,85
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2011, Numar persoane,85
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2012, Numar persoane,80
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2007, Numar persoane,61
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2008, Numar persoane,68
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2009, Numar persoane,65
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2010, Numar persoane,73
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2011, Numar persoane,77
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2012, Numar persoane,78
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2007, Numar persoane,50
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2008, Numar persoane,52
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2009, Numar persoane,56
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2010, Numar persoane,58
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2011, Numar persoane,54
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2012, Numar persoane,71
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2007, Numar persoane,80
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2008, Numar persoane,73
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2009, Numar persoane,79
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2010, Numar persoane,71
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2011, Numar persoane,68
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2012, Numar persoane,69
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2007, Numar persoane,77
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2008, Numar persoane,74
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2009, Numar persoane,76
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2010, Numar persoane,68
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2011, Numar persoane,66
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2012, Numar persoane,57
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2007, Numar persoane,60
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2008, Numar persoane,67
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2009, Numar persoane,61
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2010, Numar persoane,65
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2011, Numar persoane,69
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2012, Numar persoane,84
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2007, Numar persoane,91
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2008, Numar persoane,89
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2009, Numar persoane,76
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2010, Numar persoane,75
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2011, Numar persoane,73
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2012, Numar persoane,84
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2007, Numar persoane,72
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2008, Numar persoane,70
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2009, Numar persoane,72
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2010, Numar persoane,71
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2011, Numar persoane,72
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2012, Numar persoane,55
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2007, Numar persoane,126
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2008, Numar persoane,121
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2009, Numar persoane,120
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2010, Numar persoane,113
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2011, Numar persoane,112
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2012, Numar persoane,92
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2007, Numar persoane,80
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2008, Numar persoane,74
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2009, Numar persoane,65
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2010, Numar persoane,57
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2011, Numar persoane,58
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2012, Numar persoane,62
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2007, Numar persoane,109
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2008, Numar persoane,111
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2009, Numar persoane,113
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2010, Numar persoane,114
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2011, Numar persoane,112
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2012, Numar persoane,117
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2007, Numar persoane,94
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2008, Numar persoane,83
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2009, Numar persoane,75
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2010, Numar persoane,71
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2011, Numar persoane,63
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2012, Numar persoane,63
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2007, Numar persoane,137
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2008, Numar persoane,147
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2009, Numar persoane,140
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2010, Numar persoane,121
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2011, Numar persoane,110
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2012, Numar persoane,98
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2007, Numar persoane,93
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2008, Numar persoane,93
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2009, Numar persoane,89
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2010, Numar persoane,84
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2011, Numar persoane,75
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2012, Numar persoane,70
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2007, Numar persoane,117
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2008, Numar persoane,109
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2009, Numar persoane,108
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2010, Numar persoane,121
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2011, Numar persoane,118
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2012, Numar persoane,115
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2007, Numar persoane,33
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2008, Numar persoane,43
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2009, Numar persoane,48
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2010, Numar persoane,50
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2011, Numar persoane,56
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2012, Numar persoane,59
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2007, Numar persoane,61
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2008, Numar persoane,58
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2009, Numar persoane,65
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2010, Numar persoane,72
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2011, Numar persoane,72
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2012, Numar persoane,75
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2007, Numar persoane,16
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2008, Numar persoane,14
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2009, Numar persoane,17
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2010, Numar persoane,18
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2011, Numar persoane,16
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2012, Numar persoane,15
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2007, Numar persoane,25
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2008, Numar persoane,30
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2009, Numar persoane,26
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2010, Numar persoane,22
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2011, Numar persoane,24
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2012, Numar persoane,29
 29573 HOLOD,0- 4 ani, Masculin, Bihor, Anul 2013, Numar persoane,121
 29573 HOLOD,0- 4 ani, Masculin, Bihor, Anul 2014, Numar persoane,127
 29573 HOLOD,0- 4 ani, Masculin, Bihor, Anul 2015, Numar persoane,132
 29573 HOLOD,0- 4 ani, Masculin, Bihor, Anul 2016, Numar persoane,138
 29573 HOLOD,0- 4 ani, Masculin, Bihor, Anul 2017, Numar persoane,133
 29573 HOLOD,0- 4 ani, Feminin, Bihor, Anul 2013, Numar persoane,115
 29573 HOLOD,0- 4 ani, Feminin, Bihor, Anul 2014, Numar persoane,107
 29573 HOLOD,0- 4 ani, Feminin, Bihor, Anul 2015, Numar persoane,107
 29573 HOLOD,0- 4 ani, Feminin, Bihor, Anul 2016, Numar persoane,105
 29573 HOLOD,0- 4 ani, Feminin, Bihor, Anul 2017, Numar persoane,108
 29573 HOLOD,5- 9 ani, Masculin, Bihor, Anul 2013, Numar persoane,95
 29573 HOLOD,5- 9 ani, Masculin, Bihor, Anul 2014, Numar persoane,96
 29573 HOLOD,5- 9 ani, Masculin, Bihor, Anul 2015, Numar persoane,104
 29573 HOLOD,5- 9 ani, Masculin, Bihor, Anul 2016, Numar persoane,103
 29573 HOLOD,5- 9 ani, Masculin, Bihor, Anul 2017, Numar persoane,109
 29573 HOLOD,5- 9 ani, Feminin, Bihor, Anul 2013, Numar persoane,100
 29573 HOLOD,5- 9 ani, Feminin, Bihor, Anul 2014, Numar persoane,104
 29573 HOLOD,5- 9 ani, Feminin, Bihor, Anul 2015, Numar persoane,103
 29573 HOLOD,5- 9 ani, Feminin, Bihor, Anul 2016, Numar persoane,114
 29573 HOLOD,5- 9 ani, Feminin, Bihor, Anul 2017, Numar persoane,110
 29573 HOLOD,10-14 ani, Masculin, Bihor, Anul 2013, Numar persoane,121
 29573 HOLOD,10-14 ani, Masculin, Bihor, Anul 2014, Numar persoane,120
 29573 HOLOD,10-14 ani, Masculin, Bihor, Anul 2015, Numar persoane,112
 29573 HOLOD,10-14 ani, Masculin, Bihor, Anul 2016, Numar persoane,113
 29573 HOLOD,10-14 ani, Masculin, Bihor, Anul 2017, Numar persoane,100
 29573 HOLOD,10-14 ani, Feminin, Bihor, Anul 2013, Numar persoane,107
 29573 HOLOD,10-14 ani, Feminin, Bihor, Anul 2014, Numar persoane,97
 29573 HOLOD,10-14 ani, Feminin, Bihor, Anul 2015, Numar persoane,106
 29573 HOLOD,10-14 ani, Feminin, Bihor, Anul 2016, Numar persoane,91
 29573 HOLOD,10-14 ani, Feminin, Bihor, Anul 2017, Numar persoane,99
 29573 HOLOD,15-19 ani, Masculin, Bihor, Anul 2013, Numar persoane,97
 29573 HOLOD,15-19 ani, Masculin, Bihor, Anul 2014, Numar persoane,94
 29573 HOLOD,15-19 ani, Masculin, Bihor, Anul 2015, Numar persoane,98
 29573 HOLOD,15-19 ani, Masculin, Bihor, Anul 2016, Numar persoane,105
 29573 HOLOD,15-19 ani, Masculin, Bihor, Anul 2017, Numar persoane,108
 29573 HOLOD,15-19 ani, Feminin, Bihor, Anul 2013, Numar persoane,107
 29573 HOLOD,15-19 ani, Feminin, Bihor, Anul 2014, Numar persoane,115
 29573 HOLOD,15-19 ani, Feminin, Bihor, Anul 2015, Numar persoane,114
 29573 HOLOD,15-19 ani, Feminin, Bihor, Anul 2016, Numar persoane,107
 29573 HOLOD,15-19 ani, Feminin, Bihor, Anul 2017, Numar persoane,102
 29573 HOLOD,20-24 ani, Masculin, Bihor, Anul 2013, Numar persoane,120
 29573 HOLOD,20-24 ani, Masculin, Bihor, Anul 2014, Numar persoane,117
 29573 HOLOD,20-24 ani, Masculin, Bihor, Anul 2015, Numar persoane,114
 29573 HOLOD,20-24 ani, Masculin, Bihor, Anul 2016, Numar persoane,111
 29573 HOLOD,20-24 ani, Masculin, Bihor, Anul 2017, Numar persoane,104
 29573 HOLOD,20-24 ani, Feminin, Bihor, Anul 2013, Numar persoane,113
 29573 HOLOD,20-24 ani, Feminin, Bihor, Anul 2014, Numar persoane,104
 29573 HOLOD,20-24 ani, Feminin, Bihor, Anul 2015, Numar persoane,91
 29573 HOLOD,20-24 ani, Feminin, Bihor, Anul 2016, Numar persoane,102
 29573 HOLOD,20-24 ani, Feminin, Bihor, Anul 2017, Numar persoane,108
 29573 HOLOD,25-29 ani, Masculin, Bihor, Anul 2013, Numar persoane,103
 29573 HOLOD,25-29 ani, Masculin, Bihor, Anul 2014, Numar persoane,118
 29573 HOLOD,25-29 ani, Masculin, Bihor, Anul 2015, Numar persoane,117
 29573 HOLOD,25-29 ani, Masculin, Bihor, Anul 2016, Numar persoane,121
 29573 HOLOD,25-29 ani, Masculin, Bihor, Anul 2017, Numar persoane,118
 29573 HOLOD,25-29 ani, Feminin, Bihor, Anul 2013, Numar persoane,96
 29573 HOLOD,25-29 ani, Feminin, Bihor, Anul 2014, Numar persoane,97
 29573 HOLOD,25-29 ani, Feminin, Bihor, Anul 2015, Numar persoane,110
 29573 HOLOD,25-29 ani, Feminin, Bihor, Anul 2016, Numar persoane,111
 29573 HOLOD,25-29 ani, Feminin, Bihor, Anul 2017, Numar persoane,108
 29573 HOLOD,30-34 ani, Masculin, Bihor, Anul 2013, Numar persoane,114
 29573 HOLOD,30-34 ani, Masculin, Bihor, Anul 2014, Numar persoane,89
 29573 HOLOD,30-34 ani, Masculin, Bihor, Anul 2015, Numar persoane,99
 29573 HOLOD,30-34 ani, Masculin, Bihor, Anul 2016, Numar persoane,98
 29573 HOLOD,30-34 ani, Masculin, Bihor, Anul 2017, Numar persoane,100
 29573 HOLOD,30-34 ani, Feminin, Bihor, Anul 2013, Numar persoane,74
 29573 HOLOD,30-34 ani, Feminin, Bihor, Anul 2014, Numar persoane,66
 29573 HOLOD,30-34 ani, Feminin, Bihor, Anul 2015, Numar persoane,73
 29573 HOLOD,30-34 ani, Feminin, Bihor, Anul 2016, Numar persoane,84
 29573 HOLOD,30-34 ani, Feminin, Bihor, Anul 2017, Numar persoane,88
 29573 HOLOD,35-39 ani, Masculin, Bihor, Anul 2013, Numar persoane,109
 29573 HOLOD,35-39 ani, Masculin, Bihor, Anul 2014, Numar persoane,129
 29573 HOLOD,35-39 ani, Masculin, Bihor, Anul 2015, Numar persoane,117
 29573 HOLOD,35-39 ani, Masculin, Bihor, Anul 2016, Numar persoane,114
 29573 HOLOD,35-39 ani, Masculin, Bihor, Anul 2017, Numar persoane,120
 29573 HOLOD,35-39 ani, Feminin, Bihor, Anul 2013, Numar persoane,103
 29573 HOLOD,35-39 ani, Feminin, Bihor, Anul 2014, Numar persoane,100
 29573 HOLOD,35-39 ani, Feminin, Bihor, Anul 2015, Numar persoane,84
 29573 HOLOD,35-39 ani, Feminin, Bihor, Anul 2016, Numar persoane,77
 29573 HOLOD,35-39 ani, Feminin, Bihor, Anul 2017, Numar persoane,77
 29573 HOLOD,40-44 ani, Masculin, Bihor, Anul 2013, Numar persoane,121
 29573 HOLOD,40-44 ani, Masculin, Bihor, Anul 2014, Numar persoane,98
 29573 HOLOD,40-44 ani, Masculin, Bihor, Anul 2015, Numar persoane,106
 29573 HOLOD,40-44 ani, Masculin, Bihor, Anul 2016, Numar persoane,105
 29573 HOLOD,40-44 ani, Masculin, Bihor, Anul 2017, Numar persoane,102
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2013, Numar persoane,86
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2014, Numar persoane,85
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2015, Numar persoane,97
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2016, Numar persoane,101
 29573 HOLOD,40-44 ani, Feminin, Bihor, Anul 2017, Numar persoane,103
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2013, Numar persoane,91
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2014, Numar persoane,112
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2015, Numar persoane,116
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2016, Numar persoane,127
 29573 HOLOD,45-49 ani, Masculin, Bihor, Anul 2017, Numar persoane,134
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2013, Numar persoane,70
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2014, Numar persoane,85
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2015, Numar persoane,88
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2016, Numar persoane,95
 29573 HOLOD,45-49 ani, Feminin, Bihor, Anul 2017, Numar persoane,90
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2013, Numar persoane,74
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2014, Numar persoane,67
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2015, Numar persoane,76
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2016, Numar persoane,76
 29573 HOLOD,50-54 ani, Masculin, Bihor, Anul 2017, Numar persoane,75
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2013, Numar persoane,57
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2014, Numar persoane,60
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2015, Numar persoane,64
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2016, Numar persoane,59
 29573 HOLOD,50-54 ani, Feminin, Bihor, Anul 2017, Numar persoane,75
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2013, Numar persoane,83
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2014, Numar persoane,90
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2015, Numar persoane,79
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2016, Numar persoane,81
 29573 HOLOD,55-59 ani, Masculin, Bihor, Anul 2017, Numar persoane,80
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2013, Numar persoane,86
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2014, Numar persoane,85
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2015, Numar persoane,72
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2016, Numar persoane,65
 29573 HOLOD,55-59 ani, Feminin, Bihor, Anul 2017, Numar persoane,59
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2013, Numar persoane,72
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2014, Numar persoane,64
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2015, Numar persoane,73
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2016, Numar persoane,72
 29573 HOLOD,60-64 ani, Masculin, Bihor, Anul 2017, Numar persoane,80
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2013, Numar persoane,90
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2014, Numar persoane,77
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2015, Numar persoane,78
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2016, Numar persoane,81
 29573 HOLOD,60-64 ani, Feminin, Bihor, Anul 2017, Numar persoane,91
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2013, Numar persoane,57
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2014, Numar persoane,62
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2015, Numar persoane,62
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2016, Numar persoane,62
 29573 HOLOD,65-69 ani, Masculin, Bihor, Anul 2017, Numar persoane,53
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2013, Numar persoane,111
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2014, Numar persoane,111
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2015, Numar persoane,108
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2016, Numar persoane,105
 29573 HOLOD,65-69 ani, Feminin, Bihor, Anul 2017, Numar persoane,89
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2013, Numar persoane,55
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2014, Numar persoane,47
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2015, Numar persoane,41
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2016, Numar persoane,42
 29573 HOLOD,70-74 ani, Masculin, Bihor, Anul 2017, Numar persoane,44
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2013, Numar persoane,97
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2014, Numar persoane,97
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2015, Numar persoane,98
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2016, Numar persoane,97
 29573 HOLOD,70-74 ani, Feminin, Bihor, Anul 2017, Numar persoane,100
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2013, Numar persoane,67
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2014, Numar persoane,64
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2015, Numar persoane,61
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2016, Numar persoane,51
 29573 HOLOD,75-79 ani, Masculin, Bihor, Anul 2017, Numar persoane,47
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2013, Numar persoane,122
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2014, Numar persoane,114
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2015, Numar persoane,96
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2016, Numar persoane,92
 29573 HOLOD,75-79 ani, Feminin, Bihor, Anul 2017, Numar persoane,83
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2013, Numar persoane,55
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2014, Numar persoane,50
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2015, Numar persoane,48
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2016, Numar persoane,50
 29573 HOLOD,80-84 ani, Masculin, Bihor, Anul 2017, Numar persoane,46
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2013, Numar persoane,69
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2014, Numar persoane,70
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2015, Numar persoane,87
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2016, Numar persoane,83
 29573 HOLOD,80-84 ani, Feminin, Bihor, Anul 2017, Numar persoane,81
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2013, Numar persoane,26
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2014, Numar persoane,25
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2015, Numar persoane,25
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2016, Numar persoane,29
 29573 HOLOD,85 ani si peste, Masculin, Bihor, Anul 2017, Numar persoane,34
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2013, Numar persoane,26
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2014, Numar persoane,30
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2015, Numar persoane,34
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2016, Numar persoane,40
 29573 HOLOD,85 ani si peste, Feminin, Bihor, Anul 2017, Numar persoane,47
